WKT,name,description
"POINT (-98.301405 43.081709000000004)",Wagner Meat Packing Plant Takeover, 1975,Wagner Meat Packing Plant, Wagner, SD
"POINT (-108.689792 36.793914)",Fairchild Takeover, 1975,Fairchild Electronic Plant, Shiprock NM
"POINT (-97.39655900000001 42.887034)",Yankton Pork Plant Protest - May 1975,
"POINT (-97.39655700000002 42.887033)",Yankton Pork Plant Protest - March 1975,
"POINT (-88.786802 44.847263)",Monestery Occupation 1975,January 2, 1975:  AIM occupies an abandoned monastery near Gresham, Wisconsin.  The stand-off ends 34 days later.
"POINT (-103.466644 42.66834)",Fort Robinson Protest - November 1972,November 1972:  50 Indians occupy the Nebraska Historical Society Museum at Fort Robinson State Park.  Led by Bob Yellow Bird (Steele), a young Oglala student at Chadron State College.  Occupation ends after 14 hours.
"POINT (-102.366597 43.140646)",Wounded Knee Protest, 1973,February 27, 1973:  AIM members and supporters invaded Wounded Knee, take elevent hostages, and establish fortifications.  The FBI and BIA establish roadblocks around the perimeter.  The occupation lasts seventy-one days.
"POINT (-103.600186 43.766319)",Custer Riot,February 6, 1973:  AIM members arrive in Custer to make their complaints known with town officials over the Wesley Bad Heart Bull death a week earlier.  A riot ensues; rocks and bottles are thrown and a small building is burned to the ground.
"POINT (-77.042518 38.893563)",BIA Protest 1972,November 1, 1972:  AIM members arrive in Washington, D.C. in the Trail of Broken Treaties.  AIM storms the BIA headquarters after a government snafu is interpreted as a double-cross.  Protesters hold the building for six days, leaving after government officials agree to pay $67,000 in travel money to leave the city.  AIM vandalizes the building and steals several thousand documents.
"POINT (-95.681521 39.047421)",Boy Scouts Protest,June 8, 1972:  AIM members and sympathizers demonstrate against an Indian dance being performed by Boy Scouts in Topeka, Kansas.  A fist fight breaks out and five AIM members are arrested.
"POINT (-102.365995 43.141285)",Wounded Knee Protest 1972,March 9, 1972:  Russell Means leads 300 Indians to Wounded Knee after Raymond Yellow Thunder's funeral.  The Trading Post is looted and $50,000 in Indian artifacts are stolen.
"POINT (-98.993121 47.97673600000001)",Fort Totten Protest,April 4, 1972:  AIM seizes a BIA jail in Fort Totten, North Dakota.
"POINT (-102.203305 42.806289)",Gordon Protest,February 20, 1972:  AIM leads a protest in Gordon, Nebraska, after the death of Raymond Yellow Thunder.
"POINT (-77.042602 38.893578)",BIA Protest 1971,September 22, 1971:  Russell Means leads 60 protesters against the Bureau of Indian Affairs building in Washington, D.C.
"POINT (-87.624365 41.87954)",AIM Sit-In,June 1971:  AIM stages a sit-in at an abandoned U.S. Army Nike Missile Site near Chicago, Illinois.
"POINT (-103.459694 43.879)",Mount Rushmore Protest,June 6, 1971:  Russell Means leads 50 Indians in a demonstration at Mount Rushmore, South Dakota.
"POINT (-77.79555900000001 38.713842)",Conference on Indian Affairs,December 16, 1970:  Three-day conference on Indian affairs at the Airlie Center in Warrenton, Virginia.  Intoxicated AIM members cause several thousand dollars worth of damage.
"POINT (-96.736189 43.527185)",Augustana Protest,July 1970:  Dennis Banks leads AIM members in a protest against a Lutheran church in Sioux Falls, SD.  AIM occupies Bergsaker Dormitory.
"POINT (-93.213119 44.875592000000005)",AIM Sit-In,May 16, 1971:  AIM stages a sit-in at Fort Snelling, Minnesota.
"POINT (-103.230712 44.081713)",Rapid City Protests,November 1972:  Following the BIA occupation, AIM members and supporters arrive in Rapid City, South Dakota, and declare boycotts against the town's businesses, citing incidents of racism.
"POINT (-87.93457 43.03677600000001)",Coast Guard Station Takeover,August 14, 1971:  Herb Powless leads the takeover of a Coast Guard station.
"POINT (-93.62548800000002 41.590797)",Department of Public Instruction Takeover,August 22, 1973:  Ron Petite leads the occupation of the State Department of Public Instruction building in Des Moines in an attempt to call attention to discrimination allegations.
"POINT (-79.203186 34.682911)",Pembroke Protest,Vernon Bellecourt and 50 other Indians affiliated with AIM are arrested for trying to use a former all-Indian school to hold a meeting.
"POINT (-74.816839 43.76951)",Eagle Bay, NY,
